time 00h 00m 10s, episodes 15, frames 0.0M, mean epr -247.58, run loss 1105.02
time 00h 00m 20s, episodes 31, frames 0.0M, mean epr -275.98, run loss 1292.63
time 00h 00m 30s, episodes 52, frames 0.0M, mean epr -281.32, run loss 1319.83
time 00h 00m 40s, episodes 71, frames 0.0M, mean epr -297.18, run loss 1360.38
time 00h 00m 51s, episodes 88, frames 0.0M, mean epr -313.48, run loss 1435.22
time 00h 01m 01s, episodes 108, frames 0.0M, mean epr -306.59, run loss 1406.27
time 00h 01m 11s, episodes 124, frames 0.0M, mean epr -317.17, run loss 1426.92
time 00h 01m 22s, episodes 142, frames 0.0M, mean epr -325.30, run loss 1472.58
time 00h 01m 32s, episodes 162, frames 0.0M, mean epr -329.24, run loss 1481.23
time 00h 01m 42s, episodes 180, frames 0.0M, mean epr -340.87, run loss 1548.04
time 00h 01m 53s, episodes 200, frames 0.0M, mean epr -354.37, run loss 1571.42
time 00h 02m 03s, episodes 221, frames 0.0M, mean epr -342.88, run loss 1547.33
time 00h 02m 13s, episodes 237, frames 0.0M, mean epr -349.63, run loss 1583.42
time 00h 02m 23s, episodes 253, frames 0.0M, mean epr -351.10, run loss 1585.36
time 00h 02m 33s, episodes 268, frames 0.0M, mean epr -355.12, run loss 1615.81
time 00h 02m 43s, episodes 284, frames 0.0M, mean epr -356.07, run loss 1600.17
time 00h 02m 53s, episodes 299, frames 0.0M, mean epr -363.37, run loss 1642.28
time 00h 03m 04s, episodes 317, frames 0.0M, mean epr -363.37, run loss 1670.80
time 00h 03m 14s, episodes 334, frames 0.0M, mean epr -363.57, run loss 1624.92
time 00h 03m 24s, episodes 354, frames 0.0M, mean epr -359.71, run loss 1581.18
time 00h 03m 35s, episodes 375, frames 0.0M, mean epr -372.16, run loss 1630.82
time 00h 03m 45s, episodes 393, frames 0.0M, mean epr -359.60, run loss 1570.27
time 00h 03m 56s, episodes 408, frames 0.0M, mean epr -359.02, run loss 1573.10
time 00h 04m 06s, episodes 423, frames 0.0M, mean epr -364.40, run loss 1583.74
time 00h 04m 16s, episodes 437, frames 0.0M, mean epr -367.29, run loss 1571.02
time 00h 04m 26s, episodes 455, frames 0.0M, mean epr -369.62, run loss 1600.05
time 00h 04m 36s, episodes 469, frames 0.0M, mean epr -376.62, run loss 1636.99
time 00h 04m 47s, episodes 488, frames 0.0M, mean epr -384.83, run loss 1636.95
time 00h 04m 57s, episodes 502, frames 0.1M, mean epr -382.11, run loss 1658.97
time 00h 05m 08s, episodes 517, frames 0.1M, mean epr -390.53, run loss 1707.98
time 00h 05m 18s, episodes 533, frames 0.1M, mean epr -386.78, run loss 1668.79
time 00h 05m 28s, episodes 551, frames 0.1M, mean epr -390.73, run loss 1685.65
time 00h 05m 38s, episodes 560, frames 0.1M, mean epr -393.68, run loss 1710.70
time 00h 05m 49s, episodes 574, frames 0.1M, mean epr -396.37, run loss 1720.59
time 00h 05m 59s, episodes 590, frames 0.1M, mean epr -392.96, run loss 1695.27
time 00h 06m 10s, episodes 605, frames 0.1M, mean epr -398.63, run loss 1726.37
time 00h 06m 20s, episodes 620, frames 0.1M, mean epr -404.08, run loss 1771.33
time 00h 06m 30s, episodes 637, frames 0.1M, mean epr -406.84, run loss 1793.66
time 00h 06m 40s, episodes 653, frames 0.1M, mean epr -396.16, run loss 1758.97
time 00h 06m 50s, episodes 673, frames 0.1M, mean epr -404.61, run loss 1770.44
time 00h 07m 00s, episodes 690, frames 0.1M, mean epr -398.15, run loss 1744.75
time 00h 07m 10s, episodes 708, frames 0.1M, mean epr -392.74, run loss 1694.05
time 00h 07m 21s, episodes 726, frames 0.1M, mean epr -398.64, run loss 1705.49
time 00h 07m 31s, episodes 744, frames 0.1M, mean epr -401.60, run loss 1713.13
time 00h 07m 41s, episodes 764, frames 0.1M, mean epr -409.48, run loss 1729.55
time 00h 07m 52s, episodes 779, frames 0.1M, mean epr -410.96, run loss 1726.43
time 00h 08m 02s, episodes 799, frames 0.1M, mean epr -425.99, run loss 1764.98
time 00h 08m 12s, episodes 817, frames 0.1M, mean epr -436.63, run loss 1837.27
time 00h 08m 23s, episodes 835, frames 0.1M, mean epr -431.63, run loss 1786.51
time 00h 08m 33s, episodes 854, frames 0.1M, mean epr -441.59, run loss 1884.71
time 00h 08m 43s, episodes 874, frames 0.1M, mean epr -441.69, run loss 1972.80
time 00h 08m 54s, episodes 891, frames 0.1M, mean epr -446.80, run loss 1938.05
time 00h 09m 04s, episodes 912, frames 0.1M, mean epr -453.44, run loss 1975.01
time 00h 09m 15s, episodes 931, frames 0.1M, mean epr -450.18, run loss 1924.51
time 00h 09m 25s, episodes 948, frames 0.1M, mean epr -457.90, run loss 1958.10
time 00h 09m 35s, episodes 969, frames 0.1M, mean epr -467.39, run loss 2014.47
time 00h 09m 45s, episodes 985, frames 0.1M, mean epr -466.76, run loss 2000.18
time 00h 09m 56s, episodes 1004, frames 0.1M, mean epr -467.62, run loss 2007.33
time 00h 10m 06s, episodes 1021, frames 0.1M, mean epr -473.23, run loss 2039.43
time 00h 10m 16s, episodes 1042, frames 0.1M, mean epr -465.28, run loss 2040.20
time 00h 10m 27s, episodes 1058, frames 0.1M, mean epr -482.86, run loss 2130.91
time 00h 10m 37s, episodes 1074, frames 0.1M, mean epr -483.10, run loss 2144.61
